Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	tree_length
0	-2103.851	-2421.136	317.2847	2.136976	8.445974	0.558285
6	-2103.335	-2421.023	317.688	2.142339	6.360533	0.6135351
12	-2119.469	-2436.664	317.1945	2.198428	8.460733	0.6382217
18	-2113.776	-2431.184	317.4075	2.182644	7.525419	0.5854821
24	-2118.188	-2435.463	317.275	2.154782	8.375895	0.5779045
30	-2125.616	-2443.139	317.5222	1.914329	6.510339	1.072818
36	-2136.69	-2454.432	317.7423	2.171338	5.756921	0.733475
42	-2130.923	-2448.649	317.7259	2.142286	6.209841	0.6055977
48	-2152.567	-2470.089	317.5224	2.078963	7.055885	0.7557068
54	-2114.776	-2432.023	317.2473	2.030698	8.619142	0.7849518
60	-2129.402	-2446.834	317.4321	1.882906	7.796985	0.9249454
66	-2119.047	-2436.566	317.519	1.993022	6.62587	0.973598
72	-2105.906	-2423.47	317.5637	1.965328	6.781927	0.9191383
78	-2122.997	-2440.749	317.7519	1.807175	5.764135	1.122682
84	-2118.824	-2436.143	317.3193	2.105117	7.746244	0.8070576
90	-2108.786	-2426.237	317.4513	2.068556	7.387208	0.7743818
96	-2105.769	-2422.995	317.2258	2.078428	8.61991	0.7468497
102	-2094.22	-2411.306	317.0858	2.112399	9.31453	0.7251462
108	-2107.121	-2424.137	317.0153	2.204305	9.501115	0.6232291
114	-2088.969	-2406.291	317.3216	1.952763	7.721965	0.9830331
120	-2108.29	-2425.55	317.2598	1.832118	8.181408	1.075187
126	-2094.224	-2411.395	317.1714	1.951995	9.503898	0.7890378
132	-2094.614	-2411.98	317.3668	1.987678	7.765333	0.8877883
138	-2104.538	-2422.196	317.6586	1.92264	6.220425	0.9972511
144	-2109.055	-2426.312	317.2571	1.926822	8.592151	0.906184
150	-2101.208	-2418.461	317.2532	1.994195	8.745302	0.7960783
156	-2100.707	-2418.348	317.6414	1.997809	6.702864	0.8086768
162	-2111.789	-2429.109	317.3201	2.001209	8.5578	0.7377212
168	-2102.175	-2419.443	317.2688	2.087866	8.5578	0.6773369
174	-2098.583	-2415.957	317.3733	2.130402	7.771208	0.6773369
180	-2101.132	-2418.052	316.9199	2.104936	10.40992	0.7229615
186	-2107.922	-2425.04	317.1173	2.16741	9.155279	0.6033975
192	-2098.145	-2415.52	317.3746	2.051749	7.992599	0.7367532
198	-2086.108	-2403.41	317.3021	2.01215	7.777456	0.9299466
204	-2090.615	-2407.923	317.3083	1.992595	7.977208	0.9023613
210	-2095.893	-2413.291	317.3986	1.942503	7.585338	0.9416914
216	-2086.501	-2403.681	317.1797	1.942503	8.994193	0.896252
222	-2094.866	-2412.308	317.4419	1.961248	7.622323	0.8638092
228	-2089.463	-2407.011	317.548	1.806673	7.15643	1.01693
234	-2100.277	-2417.839	317.5617	1.766871	7.292674	1.014939
240	-2103.438	-2420.585	317.1472	1.68275	8.431802	1.2641
246	-2110.002	-2427.386	317.3834	1.646189	7.391345	1.2641
252	-2126.343	-2443.577	317.2343	1.977781	7.329874	1.117501
258	-2108.095	-2425.331	317.2363	1.977781	7.335072	1.11472
264	-2094.356	-2411.313	316.9565	2.000153	9.924253	0.9095703
270	-2103.866	-2421.356	317.4898	1.945604	7.26489	0.9095703
276	-2105.853	-2423.121	317.2679	1.942949	7.623464	1.064109
